what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1307624343114
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1307624343114
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1307624343115
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1307624343117
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1307624343117
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1307624343118
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1307624343119
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1307624343120
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1307624343121
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1307624343123
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1307624343123
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1307624343124
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1307624343126
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1307624343126
os,sysinfo,,,"linux",1307624343133
arch,sysinfo,,,"x86",1307624343133
ws,sysinfo,,,"gtk",1307624343133
locale,sysinfo,,,"en_US",1307624343133
processors,sysinfo,,,"2",1307624343133
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1307624343133
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1307624343133
java.specification.name,sysinfo,,,"Java Platform API Specification",1307624343133
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307624343133
java.specification.version,sysinfo,,,"1.6",1307624343133
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307624343133
java.version,sysinfo,,,"1.6.0_20",1307624343133
java.vm.info,sysinfo,,,"mixed mode, sharing",1307624343133
java.vm.name,sysinfo,,,"OpenJDK Client VM",1307624343133
